MY,Y,M,monthly precip,cumulative annual precip
0622,22,6,1.6300000000000003,1.6300000000000003
0722,22,7,1.2900000000000003,2.920000000000001
0822,22,8,0.6600000000000001,3.580000000000001
0922,22,9,3.619999999999997,7.1999999999999975
1022,22,10,4.929999999999986,12.129999999999985
1122,22,11,3.4899999999999967,15.619999999999981
1222,22,12,5.9499999999999815,21.569999999999965
0123,23,1,6.289999999999975,6.289999999999975
0223,23,2,1.0900000000000007,7.379999999999976
0323,23,3,5.069999999999979,12.449999999999955
0423,23,4,5.099999999999993,17.549999999999947
0523,23,5,3.749999999999999,21.299999999999947
0623,23,6,5,25.829999999999938
0723,23,7,8.029999999999985,33.85999999999992
0823,23,8,6.999999999999977,41
0923,23,9,4.079999999999991,44.93999999999989
1023,23,10,3.399999999999988,48.339999999999876
1123,23,11,3.229999999999997,51.56999999999987
1223,23,12,7.689999999999975,59.25999999999985
0124,24,1,8.439999999999964,8.439999999999964
0224,24,2,0.8400000000000003,9.279999999999964
0324,24,3,10.559999999999937,20
0424,24,4,4.559999999999982,24.39999999999988
0524,24,5,4.179999999999997,28.579999999999878
0624,24,6,2.6299999999999972,31.209999999999873
0724,24,7,1.6500000000000004,32.85999999999987
0824,24,8,2.6799999999999984,35.53999999999987
0924,24,9,1.1200000000000006,36.65999999999987
1024,24,10,1.0200000000000005,37.67999999999987
1124,24,11,3.7099999999999937,41.389999999999866
1224,24,12,5.429999999999988,46.81999999999985
0125,25,1,1.9500000000000013,1.9500000000000013
0225,25,2,2.4099999999999997,4.360000000000001
