paddock_id_new,field,treatment,date1,cover,treatment,impact,num_nests,hotspot,impact2
1,,,4/27/23,1464,,,,,
2,,,4/27/23,1464,,,,,
3,,,4/27/23,1906.4,,,,,
4,,,4/27/23,1795.8,,,,,
5,,,4/27/23,1795.8,,,,,
6,,,4/27/23,1906.4,,,,,
7,,,4/27/23,1464,,,,,
8,,,4/27/23,1464,,,,,
9,,,4/27/23,1732.6,,,,,
10,,,4/27/23,1732.6,,,,,
11,,,4/27/23,"2,286",,,,,
12,,,4/27/23,"2,286",,,,,
13,,,4/27/23,2285.6,,,,,
14,,,4/27/23,1716.8,,,,,
15,,,4/27/23,1843.2,,,,,
16,,,4/27/23,2064.4,,,,,
17,,,4/27/23,2064.4,,,,,
19,,,4/27/23,2427.8,,,,,
20,,,4/27/23,2427.8,,,,,
21,,,4/27/23,1764.2,,,,,
9,,,5/4/23,2032.6,,,,,
9,,,5/6/23,2428,,,,,
10,,,5/8/23,2032.6,,,,,
12,,,5/8/23,"2,646",,,,,
4,,,5/9/23,2948.76,,,,,
10,,,5/10/23,1732.6,,,,,
12,,,5/10/23,"2,169",,,,,
2,,,5/15/23,3128.76,,,,,
3,,,5/15/23,3128.76,,,,,
11,,,5/15/23,"2,646",,,,,
1,gp3e,early_graze_hi,5/16/23,2348.8,no-early,n,0,1,early-nesting
2,gp3e,early_mown,5/16/23,2475.2,pre-nesting,x,1,1,pre-nesting
3,gp3e,early_graze_hi,5/16/23,2254,pre-nesting,x,0,0,pre-nesting
4,gp3e,early_graze_lo,5/16/23,1479.8,pre-arrival,x,0,0,pre-arrival
5,gp3w,late_graze_lo,5/16/23,2282.8,no-early,n,0,0,early-nesting
6,gp3w,fallow,5/16/23,3723.4,no-early,n,0,1,early-nesting
7,gp3w,late_graze_hi,5/16/23,3549.6,no-early,n,1,2,no-early
8,gp3w,late_graze_lo,5/16/23,3549.6,no-early,n,0,2,early-nesting
9,gp4,early_graze_hi,5/16/23,2728,pre-arrival,x,2,3,pre-arrival
10,gp4,early_graze_lo,5/16/23,1732.6,pre-arrival,x,0,2,pre-arrival
11,gp4,early_mown,5/16/23,2364.6,pre-nesting,x,1,3,pre-nesting
