nest_id,year,lat,long,plot,field,in_study,confirmed,species,outcome,found_date,build_date,egg_date,hatch_date_key,fledge_date,mobile_date,no_fledged,max_clutch,live_young,Unhatched eggs,hatch_rate,Fledge Rate,,
LS N1 23,2023,,,,lower_sunset,no,,Bobolink,At least one young fledged,2023-05-30,2023-05-27,2023-05-29,2023-06-10,2023-06-20,2023-06-30,4,7,5,,0.714285714,0.8,,
PlainsE N1 23,2023,,,,plains,no,,Bobolink,Abandoned,2023-06-07,,btw 6- 8 and 18,,,,0,2,0,,0,0,,
P14 N2 23,2023,,,14,,,,Bobolink,At least one young fledged,2023-06-15,2023-05-28,2023-05-30,2023-06-11,2023-06-21,,3,3,3,,1,1,,
P9 N1 23,2023,,,9,,,,Bobolink,At least one young fledged,2023-06-09,2023-05-24,2023-05-26,2023-06-07,2023-06-17,2023-06-27,4,5,5,,1,0.8,,
P7 N1 23,2023,,,7,,,,Bobolink,At least one young fledged,2023-06-14,2023-05-23,2023-05-25,2023-06-06,2023-06-16,2023-06-26,6,6,6,,1,1,,
P9 N2 23,2023,,,9,,,,Bobolink,At least one young fledged,2023-06-14,2023-05-26,2023-05-28,2023-06-09,2023-06-19,2023-06-29,5,5,5,,1,1,,
GP5 N1 23,2023,,,,,no,,Bobolink,At least one young fledged,2023-06-14,2023-05-22,2023-05-24,2023-06-05,2023-06-15,2023-06-25,4,5,5,,1,0.8,,
P13 N3 23,2023,,,13,,,,Bobolink,At least one young fledged,2023-06-14,2023-05-22,2023-05-24,2023-06-05,2023-06-15,2023-06-25,5,5,5,,1,1,,
P13 N2 23,2023,,,13,,,,Bobolink,At least one young fledged,2023-06-14,2023-05-22,2023-05-24,2023-06-05,2023-06-15,2023-06-25,4,4,4,,1,1,,
P17 N1 23,2023,,,17,,,,Bobolink,At least one young fledged,2023-06-16,2023-05-24,2023-05-26,2023-06-07,2023-06-17,2023-06-27,5,5,5,,1,1,,
P13 N1 23,2023,,,13,,,,Bobolink,At least one young fledged,2023-06-12,2023-05-19,2023-05-21,2023-06-02,2023-06-12,2023-06-22,1,1,1,,1,1,,
P15 N3 23,2023,,,15,,,,Bobolink,At least one young fledged,2023-06-15,,,,2023-06-15,2023-06-25,1,1,1,,1,1,,
