#plot-number-year,,,,#reformated,"#unsure, counts","#unsure, counts",,,#,,,,
nest_id,year,species,date,yyyymmdd,eggs,young,dead_young,stage,adult_status,young_status,min_yng,max_yng,notes
P7 N1 23,2023,Bobolink,2023-06-14,,0,5,,nestling,MF,,7,8,in bedstraw
,2023,Bobolink,2023-06-16,,0,6,,nestling,MF,,8,9,1 nestling jumped out twice
,2023,Bobolink,2023-06-19,,0,0,,done,MF,,,,"high energy chipping, 2 pairs of adults, possibly two nests. Nest empty poop outside of nest"
,2023,Bobolink,2023-06-21,,0,0,,done,MF,,10,,MF chipping nearbym feeding
,2023,Bobolink,2023-06-28,,0,0,,done,MF,,,,"nest successful, 6 fledged"
P2 N1 23,2023,Bobolink,2023-06-14,,0,6,,nestling,MF,,3,4,feeding
,2023,Bobolink,2023-06-16,,0,6,,nestling,MF,,4,5,"eyes opening, 1m 1f chipping"
,2023,Bobolink,2023-06-19,,0,6,,nestling,MF,,8,9,"poopp outside nest, 1m chipping aggressively. 3m1f in area"
,2023,Bobolink,2023-06-21,,0,3,,nestling,MF,,9,,"poop aroudn edge of nest, m/f chipping"
,2023,Bobolink,2023-06-23,,0,0,,done,MF,,10,,"m/f chipping, feeding in plot 7 and one f in plots 1-2 flying nearby"
,2023,Bobolink,2023-06-28,,0,0,,done,F,,,,
P9 N2 23,2023,Bobolink,2023-06-14,,0,5,,nestling,MF,,3,4,
,2023,Bobolink,2023-06-19,,,,,lost,F,,,,could not find the nest
,2023,Bobolink,2023-06-20,,,,,lost,,,,,
,2023,Bobolink,2023-06-23,,,,,lost,,,,,"MF nearby, chipping"
,2023,Bobolink,2023-06-28,,,,,lost,,,,,
P11 N2 23,2023,Bobolink,2023-06-14,,0,4,,nestling,,,1,2,one baby had a scrape on its head
,2023,Bobolink,2023-06-16,,0,4,,nestling,,,3,4,m chipping f sitting on nest
,2023,Bobolink,2023-06-19,,0,4,,nestling,,,5,6,
,2023,Bobolink,2023-06-21,,0,4,,nestling,,,7,8,
,2023,Bobolink,2023-06-23,,0,0,,done,,,9,10,"empty dried poop, no adults around"
,2023,Bobolink,2023-06-28,,0,0,,done,,,,,m chipping 50m away oto south
P13 N1 23,2023,Bobolink,2023-06-12,,0,1,,done,MF,,8,10,"loose fledgling walking not running, parent still feeding chipping"
,2023,Bobolink,2023-06-14,,0,0,,done,MF,,,,
,2023,Bobolink,2023-06-16,,0,0,,done,MF,,,,chipping
,2023,Bobolink,2023-06-19,,0,0,,done,,,,,hear a baby
,2023,Bobolink,2023-06-28,,0,0,,done,MF,,5,6,eyes open
P13 N2 23,2023,Bobolink,2023-06-14,,0,4,,nestling,MF,,7,9,3M 1F chipping
,2023,Bobolink,2023-06-16,,0,4,,nestling,M,,,,several poops outside nest
,2023,Bobolink,2023-06-19,,0,0,,done,,,,,
,2023,Bobolink,2023-06-28,,0,0,,done,M,,,,
P13 N3 23,2023,Bobolink,2023-06-14,,0,5,,nestling,F,,7,9,"fully feathered, pins dropped"
,2023,Bobolink,2023-06-16,,0,0,,done,MF,,,,"empty nest, did not see fledgling but no thorough search. MF chipping nearby"
,2023,Bobolink,2023-06-19,,0,0,,done,MF,,,,MF chipping and poop 1m from nest
,2023,Bobolink,2023-06-28,,0,0,,done,MF,,,,MF chipping and with food
P14 N1 23,2023,Bobolink,2023-06-07,,1,3,,nestling,MF,,3,6,"eyes closed, wing tail back pinfeathers"
,2023,Bobolink,2023-06-09,,,3,,nestling,MF,,5,6,eyes open
,2023,Bobolink,2023-06-12,,2,0,,done,,,,,"eggs hidden under young but all fledged, nbot seen"
,2023,Bobolink,2023-06-15,,2,0,,done,MF,,,,"3m 1f attending, feeding and watching young 5M away"
,2023,Bobolink,2023-06-19,,2,0,,done,F,,,,F still feeding chipping
,2023,Bobolink,2023-06-21,,2,0,,done,MF,,,,"2m2f nearby chipping some feeding, potentially atanother nest"
,2023,Bobolink,2023-06-23,,,0,,done,MF,,,,"did not look at nest. 2m2f nearby chipping some feeding, potentially atanother nest"
,2023,Bobolink,2023-06-28,,,0,,done,F,,,,"did not look atnestsomething runnign around in the grass, saw a snake on the way over"
P14 N2 23,2023,Bobolink,2023-06-15,,0,3,1,nestling,MF,,3,4,one more injured/dead outside of nest
,2023,Bobolink,2023-06-19,,0,3,,nestling,MF,,7,8,"feeding, chipping"
,2023,Bobolink,2023-06-21,,0,0,,done,MF,,10,,"chipping, fresh poop outside of nest, edge mooshed"
,2023,Bobolink,2023-06-28,,0,0,,done,MF,,,,"1 baby flying, lots of adults in area"
P15 N2 23,2023,Bobolink,2023-06-15,,0,4,,nestling,MF,,1,4,mf guarding
,2023,Bobolink,2023-06-19,,0,5,,nestling,MF,,3,6,angry male one F nearby
,2023,Bobolink,2023-06-21,,0,4,,nestling,MF,,5,6,
,2023,Bobolink,2023-06-23,,0,3,,nestling,MF,,7,9,"poop fresh on edge of nest, no fledglings found"
,2023,Bobolink,2023-06-28,,,,,done,M,,,,"wet, nest dissolving"
P15 N3 23,2023,Bobolink,2023-06-15,,,,,Done,F,,,,fledgling onlym feemale feeding
P16 N1 23,2023,Bobolink,2023-05-30,,2,0,,laying,F,,,,flushed femaile
,2023,Bobolink,2023-06-01,,4,0,,laying,,,,,flushed femaile
,2023,Bobolink,2023-06-07,,4,0,,laying,,,,,femal evisiting ground pretty wet
,2023,Bobolink,2023-06-08,,4,0,,laying,F,,,,no female
,2023,Bobolink,2023-06-09,,4,0,,laying,M,,,,amle chipping
,2023,Bobolink,2023-06-13,,3,1,,hatching,MF,,,,
,2023,Bobolink,2023-06-15,,2,2,,hatching,MF,,1,3,MF chipping
,2023,Bobolink,2023-06-19,,2,2,,nestling,M,,3,4,"M feeding eyes closed, very wet around"
,2023,Bobolink,2023-06-21,,2,2,,nestling,MF,,5,6,"chipping, feeding eyes open"
,2023,Bobolink,2023-06-23,,2,2,,nestling,,,8,9,"chipping nearby, 1 young in nest, one out and happy"
,2023,Bobolink,2023-06-28,,2,0,,done,,,,,just outside grazed area
P16 N2 23,2023,Bobolink,2023-06-14,,0,4,,nestling,MF,,3,5,photos
,2023,Bobolink,2023-06-19,,0,0,2,done,MF,,,,"2 dead baby, one pooop outside, chipping agressively. Looks like died 7-8 days old in nest"
,2023,Bobolink,2023-06-28,,0,0,,done,,,,,
P17 N1 23,2023,Bobolink,2023-06-16,,1,5,,nestling,MF,,7,9,male female feeding chipping
,2023,Bobolink,2023-06-19,,1,0,,done,F,,,,female chipping no food hawk nearby
,2023,Bobolink,2023-06-28,,0,0,,done,F,,,,female not chipping or feeding
GP5 N1 23,2023,Bobolink,2023-06-14,,0,5,,nestling,F,,8,9,fully feathered no pins feeding
,2023,Bobolink,2023-06-16,,0,0,1,done,MF,,,,empty nest except one dead
,2023,Bobolink,2023-06-19,,0,0,,done,MF,,,,no nestlings sparrow chipping nearby
,2023,Bobolink,2023-06-20,,0,0,,done,,,,,"likely one baby, short flights"
,2023,Bobolink,2023-06-28,,0,0,,done,,,,,
LS N1 23,2023,Bobolink,2023-05-30,,6,0,,laying,MF,,,,previously grazed
,2023,Bobolink,2023-06-01,,6,0,,laying,F,,,,
,2023,Bobolink,2023-06-09,,7,0,,incubating,F,,,,flushed female
,2023,Bobolink,2023-06-14,,0,5,1,nestling,MF,,3,4,
,2023,Bobolink,2023-06-20,,0,0,,done,F,,7,9,"1 dead nestling in nest, 2 nestlings <1m from nest not mobile"
,2023,Bobolink,2023-06-29,,0,0,,done,,,,,several adults and one baby flying far end of field
PlainsE N1 23,2023,Bobolink,2023-06-07,,0,0,,building,MF,,,,female flushed
,2023,Bobolink,2023-06-20,,2,0,,laying,,,,,
,2023,Bobolink,2023-06-21,,2,0,,laying,MF,,,,no signs of occupation
,2023,Bobolink,2023-06-23,,2,0,,laying,MF,,,,moved post farther from nest
,2023,Bobolink,2023-06-29,,2,0,,laying,F,,,,
P9 N1 23,2023,Bobolink,2023-06-09,,1,4,,hatching,MF,,1,2,"young active, flushed female whilei feeding"
,2023,Bobolink,2023-06-12,,0,5,,nestling,MF,,2,4,
,2023,Bobolink,2023-06-15,,0,5,,nestling,MF,,5,7,
,2023,Bobolink,2023-06-19,,0,0,1,done,MF,,,,"f doenst have food, nest in better shape. Mf chipping nearby one dead nestling outside the nest. Poop 3m away from nest"
,2023,Bobolink,2023-06-21,,0,0,,done,MF,,,,
,2023,Bobolink,2023-06-28,,0,0,,done,,,,,"snake spottted 10m away, potentially one baby flushed nearby"
P15 N1 23,2023,Bobolink,2023-05-30,,6,0,,incubating,MF,,,,photo
,2023,Bobolink,2023-06-02,,6,0,,incubating,MF,,,,
,2023,Bobolink,2023-06-07,,1,5,,hatching,,,1,2,5 hatchilngs 1 egg
,2023,Bobolink,2023-06-08,,0,5,,nestling,F,,1,2,flushed f
,2023,Bobolink,2023-06-09,,0,5,,nestling,MF,,1,2,eyes closed tough to see mostly naked
,2023,Bobolink,2023-06-12,,0,5,,nestling,MF,,3,6,
,2023,Bobolink,2023-06-15,,0,5,,nestling,MF,,8,9,"mf feeding chipping, young eyes wide open fully feathered feathers open"
,2023,Bobolink,2023-06-19,,0,0,,done,MF,,,,"nest falling apart, MF chipping, don’t see hear nestlings"
,2023,Bobolink,2023-06-28,,0,0,,done,MF,,,,"2 babies in grass, one flying one not"
P11 N1 23???,2023,,,,,,,,,,,,
briar probable,2024,Bobolink,2024-06-13T00:00,,,,,,va,,,,"Jane, just locating probable nest area, marked with post, MF circling and chipping urgently, no sign of feeding yet"
briar probable,2024,Bobolink,2024-06-19T00:00,,,,,,va,,,,"in briar refuge, after mowing, before baling, male and female guarding nest area, no feeding observed yet.
"
briar probable,2024,Bobolink,2024-06-24T00:00,,,,,,no,,,,we walked through nest area and no adults seen 
Briar Probable 2,2024,Bobolink,2024-06-19T00:00,,,,,,fa,,,,"2M and 1 F (at least) nearby, protecting, feeding behavior. Jane and Renee and Noah observation, did not do thorough nest search (hot and needed to move on). this was after hay mowing but before baling"
Briar Probable 2,2024,Bobolink,2024-06-24T00:00,,,3,,,va,fy,,,Gillian and Jane saw 3 flying fledglings plus male and female adult!
Briar Probable 2,2024,Bobolink,2024-06-27T12:48:29,,,,,,no,no,,,Jane walked through entire refuge and there were no sights or sounds of Bobolinks at about noon
Briar Probable 2,2024,Bobolink,2024-07-01T10:23:37,,,,,,no,no,,,"Jane: walked entire refuge at 9:45 am, no adults or young "
P10 N1 24,2024,Savannah Sparrow,2024-05-30T00:00,,4,0,0,,aa,no,,,"Gillian, on nest between stick and crab apple "
P10 N1 24,2024,Savannah Sparrow,2024-06-05T10:39:23,,2,2,0,,aa,ny,,,"Gillian- two naked babies, two eggs "
P10 N1 24,2024,Savannah Sparrow,2024-06-07T12:32:22,,2,2,0,,va,py,,,"eyes closed fuzzy, pin feathers starting on wings. f near by"
P10 N1 24,2024,Savannah Sparrow,2024-06-10T12:02:03,,2,2,0,,,py,,,pinfeatgers starting to open. mostly covered. female chipping nearby
P10 N1 24,2024,Savannah Sparrow,2024-06-13T14:39:35,,,,,,,,,,
P10 N1 24,2024,Savannah Sparrow,2024-06-15T10:19:18,,0,4,0,,no,ny,,,sleeping. 
P10 N1 24,2024,Savannah Sparrow,2024-06-17T14:18:52,,0,,0,,va,no,,,could not find nest
P10 N1 24,2024,Savannah Sparrow,2024-06-19T12:25:10,,,,,,va,,,,"Jane didn‚Äôt find nest to check, NestWatch wouldn‚Äôt load on my phone out in the field today but I did see SS adults nearby"
P10 N2 24,2024,Bobolink,2024-06-05T00:00,,5,0,0,,va,no,,,
P10 N2 24,2024,Bobolink,2024-06-07T12:41:52,,5,0,0,,aa,no,,,f on nest flushed and played injured stayed nearby.  in grass primarily smooth brome taller patch
P10 N2 24,2024,Bobolink,2024-06-10T00:00,,5,0,0,,,no,,,"Alejandro
four eggs in nest. one knocked out"
P10 N2 24,2024,Bobolink,2024-06-13T00:00,,1,4,0,,va,ny,,,Kate. One unhatched egg was outside of the nest.
P10 N2 24,2024,Bobolink,2024-06-17T00:00,,1,4,0,,va,py,,,"Gillian- 4 young with pin feathers, one egg still outside nest."
P10 N2 24,2024,Bobolink,2024-06-19T00:00,,1,4,0,,va,fy,,,4 nestlings 1 egg outside the nest poop right next to nest on a little rock 
P10 N2 24,2024,Bobolink,2024-06-21T00:00,,0,0,0,,va,no,,,"no babies in nest, many adults near by "
P10 N3 24,2024,Bobolink,2024-06-21T00:00,,0,4,0,,va,py,,,"4 babies, found by hearing their peeping while walking nearby"
P10 N3 24,2024,Bobolink,2024-06-24T00:00,,0,0,0,,va,no,,,"no babies in the nest but I
watched a female visit near the nest with food."
P10 N3 24,2024,Bobolink,2024-07-02T11:22:01,,0,0,0,,va,no,,,at least 5 females (at least 2 were feeding young) and 1 male adults plus at least 1 flying baby. adults were guarding and chipping
P11 N1 24,2024,Bobolink,2024-06-07T12:37:36,,5,0,0,,va,no,,,m nearby. shallow slope area
P11 N1 24,2024,Bobolink,2024-06-10T11:56:23,,5,0,0,,va,no,,,female in area but not chipping 
P11 N1 24,2024,Bobolink,2024-06-15T00:00,,1,4,0,,va,py,,,under thistle away from hill. ouch!
P11 N1 24,2024,Bobolink,2024-06-17T00:00,,1,4,0,,va,py,,,"Gillian- 4 babies with pin feathers, 1 egg"
P11 N1 24,2024,Bobolink,2024-06-19T00:00,,,4,0,,va,py,,,"Jane; 4 babies with pin feathers, eyes open"
P11 N1 24,2024,Bobolink,2024-06-21T15:46:53,,0,0,0,,va,no,,,"empty nest, angry adults near by "
P12 N1 24,2024,Bobolink,2024-06-25T10:02:38,,0,4,0,,fa,py,,,"four partially feathered babies, one looked a little odd like it was laying the wrong way "
P12 N1 24,2024,Bobolink,2024-06-27T09:59:39,,0,4,0,,va,py,,,"4 babies, eyes open some pin feathers "
P12 N1 24,2024,Bobolink,2024-07-01T13:19:06,,0,2,0,,va,,,,"2 nestlings, 1 adult female stayed nearby guarding and chipping"
P12 N1 24,2024,Bobolink,2024-07-02T00:00,,0,0,0,,va,no,,,Gillian and Ryan checked
P12 N2 24,2024,Bobolink,2024-06-25T10:49:30,,0,4,0,,fa,py,,,"4 babies, a few fluffy feathers, eyes closed "
P12 N2 24,2024,Bobolink,2024-06-27T10:05:04,,0,,0,,va,py,,,"might have been 3 or 4 babies, hard to tell"
P12 N2 24,2024,Bobolink,2024-07-01T13:08:42,,0,4,,,aa,fy,,,
P12 N2 24,2024,Bobolink,2024-07-03T09:36:25,,0,0,0,,va,no,,,"Jane , 1 M guarding, 1 F guarding and carrying food,  4 more M plus 1 more F nearby"
P13 N1 24,2024,Savannah Sparrow,2024-05-28T00:00,,4,0,0,,aa,no,,,
P13 N1 24,2024,Savannah Sparrow,2024-06-05T00:00,,4,0,0,,va,no,,,
P13 N1 24,2024,Savannah Sparrow,2024-06-07T12:50:25,,0,4,0,,aa,ny,,,female flushed stayed near y. still very short grass. 4 babies mostly naked eyes closed
P13 N1 24,2024,Savannah Sparrow,2024-06-10T11:46:08,,0,4,0,,aa,py,,,partially feathered eyes open. on some no pin feathers. female choppin nearby
P13 N1 24,2024,Savannah Sparrow,2024-06-13T00:00,,0,4,0,,va,ny,,,"mother stayed nearby, chirping"
P13 N1 24,2024,Savannah Sparrow,2024-06-15T00:00,,0,4,0,,va,fy,,,several males around 
P13 N1 24,2024,Savannah Sparrow,2024-06-17T00:00,,0,0,0,,va,no,,,"Gillian- no young present, likely fledged"
P13 N2 24,2024,Bobolink,2024-05-29T00:00,,3,0,0,,va,no,,,Gillian
P13 N2 24,2024,Bobolink,2024-06-05T08:34:51,,,3,,,va,ny,,,"Kate - appeared 3 young , two were slightly hidden"
P13 N2 24,2024,Bobolink,2024-06-07T12:53:48,,0,3,0,,no,ny,,,"mostly naked, very short grass relatively unprotected but under s shrub"
P13 N2 24,2024,Bobolink,2024-06-10T11:48:53,,0,3,0,,va,py,,,female nearby. pinfeargers closed on wings and back. eyes open. could be 4 but I think just 3
P13 N2 24,2024,Bobolink,2024-06-13T08:49:56,,,4,,,va,py,,,eyes on at least 2 open
P13 N2 24,2024,Bobolink,2024-06-15T00:00,,0,0,0,,no,no,,,no young present 
P13 N2 24,2024,Bobolink,2024-06-17T00:00,,0,0,0,,va,no,,,"Nest empty, no damage, assuming they fledged "
P13 N3 24,2024,Savannah Sparrow,2024-05-29T00:00,,3,0,0,,aa,no,,,Gillian- female on nest 
P13 N3 24,2024,Savannah Sparrow,2024-06-05T09:46:28,,,,,,aa,ny,,,Kate- at least 1 or 2 hatched and out of shell- unable to clearly see if third hatched yet nor see egg.
P13 N3 24,2024,Savannah Sparrow,2024-06-07T12:56,,0,3,0,,va,ny,,,f chipping nearby. neat very hidden
P13 N3 24,2024,Savannah Sparrow,2024-06-13T08:52:51,,0,0,0,,va,no,,,Kate- no eggs nor young. Nest did not look damaged. Savannah Sparrows remained near.
P13 N3 24,2024,Savannah Sparrow,2024-06-15T00:00,,0,0,0,,no,no,,,
P15 N1 24,2024,Bobolink,2024-05-31T09:40:27,,6,0,0,,va,no,,,Gillian female and male stayed near by 
P15 N1 24,2024,Bobolink,2024-06-05T08:16:34,,6,0,0,,aa,no,,,Mother fledged but stayed fairly close.
P15 N1 24,2024,Bobolink,2024-06-07T12:23:15,,0,6,0,,no,ny,,,
P15 N1 24,2024,Bobolink,2024-06-10T12:11:01,,0,6,0,,va,py,,,starting to get feathers. adult chipping in tree. eyes closed
