paddock,paddock_name,paddock_area,Cover,equation_multiplier_a,equation_constant_b,residual_constant,residual_cover,total
1,Paddock 1,1,4658,140,500,1500,3158,4658
2,Paddock 2,1,3916,140,500,1500,2416,3916
3,Paddock 3,1,5218,140,500,1500,3718,5218
4,Paddock 4,1,4056,140,500,1500,2556,4056
5,Paddock 5,1,3888,140,500,1500,2388,3888
6,Paddock 6,1,4742,140,500,1500,3242,4742
7,Paddock 7,1,4686,140,500,1500,3186,4686
8,Paddock 8,1,5008,140,500,1500,3508,5008
9,Paddock 9,1,4084,140,500,1500,2584,4084
10,Paddock 10,1,4756,140,500,1500,3256,4756
11,Paddock 11,1,4714,140,500,1500,3214,4714
12,Paddock 12,1,3552,140,500,1500,2052,3552
13,Paddock 13,1,3328,140,500,1500,1828,3328
14,Paddock 14,1,3482,140,500,1500,1982,3482
15,Paddock 15,1,4588,140,500,1500,3088,4588
16,Paddock 16,1,4826,140,500,1500,3326,4826
17,Paddock 17,1,3244,140,500,1500,1744,3244
18,Paddock 18,1,0,140,500,1500,0,0
19,Paddock 19,1,3412,140,500,1500,1912,3412
20,Paddock 20,1,3944,140,500,1500,2444,3944
21,Paddock 21,1,3930,140,500,1500,2430,3930
22,Paddock 22,1,2782,140,500,1500,1282,2782
23,Paddock 23,1,0,140,500,1500,0,0
24,Paddock 24,1,0,140,500,1500,0,0
25,Paddock 25,1,0,140,500,1500,0,0
26,Paddock 26,1,0,140,500,1500,0,0
27,Paddock 27,1,0,140,500,1500,0,0
28,Paddock 28,1,0,140,500,1500,0,0
29,Paddock 29,1,0,140,500,1500,0,0
30,Paddock 30,1,0,140,500,1500,0,0
31,Paddock 31,1,0,140,500,1500,0,0
32,Paddock 32,1,0,140,500,1500,0,0
33,Paddock 33,1,0,140,500,1500,0,0
34,Paddock 34,1,0,140,500,1500,0,0
35,Paddock 35,1,0,140,500,1500,0,0
36,Paddock 36,1,0,140,500,1500,0,0
37,Paddock 37,1,0,140,500,1500,0,0
38,Paddock 38,1,0,140,500,1500,0,0
39,Paddock 39,1,0,140,500,1500,0,0
40,Paddock 40,1,0,140,500,1500,0,0
41,Paddock 41,1,0,140,500,1500,0,0
42,Paddock 42,1,0,140,500,1500,0,0
43,Paddock 43,1,0,140,500,1500,0,0
44,Paddock 44,1,0,140,500,1500,0,0
45,Paddock 45,1,0,140,500,1500,0,0
46,Paddock 46,1,0,140,500,1500,0,0
47,Paddock 47,1,0,140,500,1500,0,0
48,Paddock 48,1,0,140,500,1500,0,0
49,Paddock 49,1,0,140,500,1500,0,0
50,Paddock 50,1,0,140,500,1500,0,0
51,Paddock 51,1,0,140,500,1500,0,0
52,Paddock 52,1,0,140,500,1500,0,0
53,Paddock 53,1,0,140,500,1500,0,0
54,Paddock 54,1,0,140,500,1500,0,0
55,Paddock 55,1,0,140,500,1500,0,0
56,Paddock 56,1,0,140,500,1500,0,0
57,Paddock 57,1,0,140,500,1500,0,0
58,Paddock 58,1,0,140,500,1500,0,0
59,Paddock 59,1,0,140,500,1500,0,0
60,Paddock 60,1,0,140,500,1500,0,0
61,Paddock 61,1,0,140,500,1500,0,0
62,Paddock 62,1,0,140,500,1500,0,0
63,Paddock 63,1,0,140,500,1500,0,0
64,Paddock 64,1,0,140,500,1500,0,0
65,Paddock 65,1,0,140,500,1500,0,0
66,Paddock 66,1,0,140,500,1500,0,0
67,Paddock 67,1,0,140,500,1500,0,0
68,Paddock 68,1,0,140,500,1500,0,0
69,Paddock 69,1,0,140,500,1500,0,0
70,Paddock 70,1,0,140,500,1500,0,0
71,Paddock 71,1,0,140,500,1500,0,0
72,Paddock 72,1,0,140,500,1500,0,0
73,Paddock 73,1,0,140,500,1500,0,0
