nest_id,date,eggs,young,dead_young,nest_status,adult_status,young_status,notes
briar probable,2024-06-13,,,,,va,,"Jane, just locating probable nest area, marked with post, MF circling and chipping urgently, no sign of feeding yet"
briar probable,2024-06-19,,,,,va,,"in briar refuge, after mowing, before baling, male and female guarding nest area, no feeding observed yet.
"
briar probable,2024-06-24,,,,,no,no,we walked through nest area and no adults seen 
Briar Probable 2,2024-06-19,,,,,fa,,"2M and 1 F (at least) nearby, protecting, feeding behavior. Jane and Renee and Noah observation, did not do thorough nest search (hot and needed to move on). this was after hay mowing but before baling"
Briar Probable 2,2024-06-24,,3,,,va,fy,Gillian and Jane saw 3 flying fledglings plus male and female adult!
Briar Probable 2,2024-06-27,,,,,no,no,Jane walked through entire refuge and there were no sights or sounds of Bobolinks at about noon
Briar Probable 2,2024-07-01,,,,,no,no,"Jane: walked entire refuge at 9:45 am, no adults or young "
P10 N1 24,2024-05-30,4,0,0,cn,aa,no,"Gillian, on nest between stick and crab apple "
P10 N1 24,2024-06-05,2,2,0,cn,aa,ny,"Gillian- two naked babies, two eggs "
P10 N1 24,2024-06-07,2,2,0,cn,va,py,"eyes closed fuzzy, pin feathers starting on wings. f near by"
P10 N1 24,2024-06-10,2,2,0,cn,va,py,pinfeatgers starting to open. mostly covered. female chipping nearby
P10 N1 24,2024-06-13,,,,,,,
P10 N1 24,2024-06-15,0,4,0,cn,no,ny,sleeping. 
P10 N1 24,2024-06-17,0,,0,cn,va,no,could not find nest
P10 N2 24,2024-06-05,5,0,0,cn,va,no,
P10 N2 24,2024-06-07,5,0,0,cn,aa,no,f on nest flushed and played injured stayed nearby.  in grass primarily smooth brome taller patch
P10 N2 24,2024-06-10,5,0,0,cn,va,no,"Alejandro
four eggs in nest. one knocked out"
P10 N2 24,2024-06-13,1,4,0,cn,va,ny,Kate. One unhatched egg was outside of the nest.
P10 N2 24,2024-06-17,1,4,0,cn,va,py,"Gillian- 4 young with pin feathers, one egg still outside nest."
P10 N2 24,2024-06-19,1,4,0,cn,va,fy,4 nestlings 1 egg outside the nest poop right next to nest on a little rock 
P10 N2 24,2024-06-21,0,0,0,cn,va,no,"no babies in nest, many adults near by "
P10 N3 24,2024-06-21,0,4,0,cn,va,py,"4 babies, found by hearing their peeping while walking nearby"
P10 N3 24,2024-06-24,0,0,0,cn,va,no,"no babies in the nest but I
watched a female visit near the nest with food."
P10 N3 24,2024-07-02,0,0,0,cn,va,no,at least 5 females (at least 2 were feeding young) and 1 male adults plus at least 1 flying baby. adults were guarding and chipping
P11 N1 24,2024-06-07,5,0,0,cn,va,no,m nearby. shallow slope area
P11 N1 24,2024-06-10,5,0,0,cn,va,no,female in area but not chipping 
P11 N1 24,2024-06-15,1,4,0,cn,va,py,under thistle away from hill. ouch!
P11 N1 24,2024-06-17,1,4,0,cn,va,py,"Gillian- 4 babies with pin feathers, 1 egg"
P11 N1 24,2024-06-19,,4,0,cn,va,py,"Jane; 4 babies with pin feathers, eyes open"
P11 N1 24,2024-06-21,0,0,0,cn,va,no,"empty nest, angry adults near by "
P12 N1 24,2024-06-25,0,4,0,cn,fa,py,"four partially feathered babies, one looked a little odd like it was laying the wrong way "
P12 N1 24,2024-06-27,0,4,0,cn,va,py,"4 babies, eyes open some pin feathers "
P12 N1 24,2024-07-01,0,2,0,cn,va,fy,"2 nestlings, 1 adult female stayed nearby guarding and chipping"
P12 N1 24,2024-07-02,0,0,0,cn,va,no,Gillian and Ryan checked
P12 N2 24,2024-06-25,0,4,0,cn,fa,py,"4 babies, a few fluffy feathers, eyes closed "
P12 N2 24,2024-06-27,0,,0,cn,va,py,"might have been 3 or 4 babies, hard to tell"
P12 N2 24,2024-07-01,0,4,0,cn,aa,fy,
P12 N2 24,2024-07-03,0,0,0,fn,va,no,"Jane , 1 M guarding, 1 F guarding and carrying food,  4 more M plus 1 more F nearby"
P13 N1 24,2024-05-28,4,0,0,cn,aa,no,
P13 N1 24,2024-06-05,4,0,0,cn,va,no,
P13 N1 24,2024-06-07,0,4,0,cn,aa,ny,female flushed stayed near y. still very short grass. 4 babies mostly naked eyes closed
P13 N1 24,2024-06-10,0,4,0,cn,aa,py,partially feathered eyes open. on some no pin feathers. female choppin nearby
P13 N1 24,2024-06-13,0,4,0,cn,va,ny,"mother stayed nearby, chirping"
P13 N1 24,2024-06-15,0,4,0,cn,va,fy,several males around 
P13 N1 24,2024-06-17,0,0,0,cn,va,no,"Gillian- no young present, likely fledged"
P13 N2 24,2024-05-29,3,0,0,cn,va,no,Gillian
P13 N2 24,2024-06-05,0,3,0,cn,va,ny,"Kate - appeared 3 young , two were slightly hidden"
P13 N2 24,2024-06-07,0,3,0,cn,no,ny,"mostly naked, very short grass relatively unprotected but under s shrub"
P13 N2 24,2024-06-10,0,3,0,cn,va,py,female nearby. pinfeargers closed on wings and back. eyes open. could be 4 but I think just 3
P13 N2 24,2024-06-13,0,4,0,cn,va,py,eyes on at least 2 open
P13 N2 24,2024-06-15,0,0,0,cn,no,no,no young present 
P13 N2 24,2024-06-17,0,0,0,cn,va,no,"Nest empty, no damage, assuming they fledged "
P13 N3 24,2024-05-29,3,0,0,cn,aa,no,Gillian- female on nest 
P13 N3 24,2024-06-05,0,,0,cn,aa,ny,Kate- at least 1 or 2 hatched and out of shell- unable to clearly see if third hatched yet nor see egg.
P13 N3 24,2024-06-07,0,3,0,cn,va,ny,f chipping nearby. neat very hidden
P13 N3 24,2024-06-13,0,0,0,cn,va,no,Kate- no eggs nor young. Nest did not look damaged. Savannah Sparrows remained near.
P13 N3 24,2024-06-15,0,0,0,cn,no,no,
P15 N1 24,2024-05-31,6,0,0,cn,va,no,Gillian female and male stayed near by 
P15 N1 24,2024-06-05,6,0,0,cn,aa,no,Mother fledged but stayed fairly close.
P15 N1 24,2024-06-07,0,6,0,cn,no,ny,
